"matchId","player","season","month_year","totalpointsWon","totalpointsPlayed","completedmatch","won_match","winners","forced_errors","unforced_errors","aces","double_faults","break_pointW","break_pointT","firstservesin","totalfirstserves","firstserve_won","firstservein_total","second_serves_in","second_serves_inorout","second_serve_won","second_serve_denom","firstserve_returns_in","firstserve_returns","sec_serve_returns_in","sec_serve_returns","short_rallies_won","short_rallies","med_rallies_won","med_rallies","long_rallies_won","long","service_games_won","service_games","Long","Long_unforced","Long_forced","Long_fault","Net","Net_unforced","Net_forced","Net_fault","WinnersAllowed","winner_forehand","winner_backhand","winner_volley","forcederror_forehand","forcederror_backhand","forcederror_volley","unforcederror_forehand","unforcederror_backhand","unforcederror_volley","Hometown"
"65c1321a3a00009c44c13373","Maddy Zampardo",6,"Feb, 2024",77,149,1,0,17,20,40,8,4,4,9,42,77,33,42,31,35,14,35,38,43,23,28,45,85,16,36,16,28,10,13,33,31,2,0,15,9,2,4,24,5,1,11,14,1,5,23,14,3,"DETROIT, MI"
"65c911a63c00005f54fe410b","Maddy Zampardo",6,"Feb, 2024",55,82,1,1,12,13,15,4,1,6,11,28,43,20,28,14,15,8,15,27,28,10,10,27,37,18,26,10,19,6,8,15,12,2,1,5,3,2,0,7,8,2,2,5,6,2,5,10,0,"DETROIT, MI"
"65c9b12b3c00006e63fe4166","Maddy Zampardo",6,"Feb, 2024",61,141,1,0,10,8,29,0,9,4,12,41,70,26,41,20,29,8,29,35,40,26,30,30,82,15,36,16,23,6,12,29,22,4,3,20,7,7,6,31,3,1,6,3,3,2,10,16,3,"DETROIT, MI"
"65d549813600002a0021df3f","Maddy Zampardo",6,"Feb, 2024",72,163,1,0,15,11,58,2,4,5,10,46,84,27,46,34,38,15,38,43,48,16,28,42,82,18,48,12,33,8,15,48,42,4,2,22,16,4,2,21,9,3,3,8,2,1,34,24,0,"DETROIT, MI"
"65e29c6936000076e621e18e","Maddy Zampardo",6,"Mar, 2024",57,88,1,1,9,21,16,1,0,4,9,25,38,22,25,13,13,10,13,22,26,14,21,39,60,11,18,7,10,8,8,20,12,8,0,6,4,2,0,5,6,1,2,16,4,1,9,6,1,"DETROIT, MI"
"65e2a02736000077e621e199","Maddy Zampardo",6,"Mar, 2024",28,54,0,0,7,9,17,2,1,1,1,19,30,15,19,10,11,5,11,11,16,4,5,17,30,8,16,3,8,5,5,9,9,0,0,11,8,2,1,6,1,1,5,7,1,1,6,11,0,"DETROIT, MI"
"65e2a20536000043e521e19e","Maddy Zampardo",6,"Mar, 2024",24,35,0,0,3,3,6,4,0,3,5,7,16,6,7,9,9,6,9,9,11,5,5,16,20,5,10,3,5,3,3,8,5,3,0,1,1,0,0,2,1,0,2,1,1,1,3,1,2,"DETROIT, MI"
"65e51805360000480721e1f5","Maddy Zampardo",6,"Mar, 2024",50,79,1,1,17,4,21,3,2,4,6,27,39,21,27,10,12,7,12,27,30,7,9,22,42,19,28,9,9,7,8,17,15,0,2,9,6,3,0,3,7,1,9,1,0,3,11,10,0,"DETROIT, MI"
"65ec9445360000858821e3e0","Maddy Zampardo",6,"Mar, 2024",68,117,1,1,19,14,26,1,8,4,6,30,61,21,30,23,31,16,31,33,36,14,16,43,67,15,30,10,20,6,10,26,19,1,6,12,7,3,2,11,6,4,9,7,4,3,12,10,4,"DETROIT, MI"
"66005a8f3600005fbe21e872","Maddy Zampardo",6,"Mar, 2024",90,158,1,1,17,20,43,8,9,6,10,50,84,34,50,25,34,14,34,49,52,13,14,50,75,20,40,20,43,9,14,47,35,4,8,14,8,5,1,7,9,1,7,16,3,1,24,14,5,"DETROIT, MI"
